N,P,Q,Res P,Res Q
9234800,63031,9171769,1,19
9234800,63199,9171601,19,1
9234800,63493,9171307,13,7
9234800,63541,9171259,1,19
9234800,63901,9170899,1,19
9234800,63949,9170851,19,1
9234800,64063,9170737,13,7
9234800,64189,9170611,19,1
9234800,64231,9170569,1,19
9234800,64399,9170401,19,1
9234800,64567,9170233,7,13
9234800,64591,9170209,1,19
9234800,64627,9170173,7,13
9234800,64879,9169921,19,1
9234800,65011,9169789,1,19
9234800,65089,9169711,19,1
9234800,65239,9169561,19,1
9234800,65287,9169513,7,13
9234800,65371,9169429,1,19
9234800,65449,9169351,19,1
9234800,65539,9169261,19,1
9234800,65557,9169243,7,13
9234800,65599,9169201,19,1
9234800,65701,9169099,1,19
9234800,65839,9168961,19,1
9234800,66169,9168631,19,1
9234800,66301,9168499,1,19
9234800,66337,9168463,7,13
9234800,66373,9168427,13,7
9234800,66541,9168259,1,19
9234800,66733,9168067,13,7
9234800,66841,9167959,1,19
9234800,66877,9167923,7,13
9234800,66973,9167827,13,7
9234800,67003,9167797,13,7
9234800,67021,9167779,1,19
9234800,67189,9167611,19,1
9234800,67429,9167371,19,1
9234800,67489,9167311,19,1
9234800,67531,9167269,1,19
9234800,67723,9167077,13,7
9234800,67783,9167017,13,7
9234800,67819,9166981,19,1
9234800,67891,9166909,1,19
9234800,67933,9166867,13,7
9234800,68023,9166777,13,7
9234800,68053,9166747,13,7
9234800,68113,9166687,13,7
9234800,68371,9166429,1,19
9234800,68473,9166327,13,7
9234800,68491,9166309,1,19
9234800,68581,9166219,1,19
9234800,68659,9166141,19,1
9234800,68743,9166057,13,7
9234800,68899,9165901,19,1
9234800,68917,9165883,7,13
9234800,68947,9165853,7,13
9234800,69019,9165781,19,1
9234800,69109,9165691,19,1
9234800,69499,9165301,19,1
9234800,69739,9165061,19,1
9234800,69859,9164941,19,1
9234800,69877,9164923,7,13
9234800,70009,9164791,19,1
9234800,70123,9164677,13,7
9234800,70237,9164563,7,13
9234800,70297,9164503,7,13
9234800,70327,9164473,7,13
9234800,70501,9164299,1,19
9234800,70621,9164179,1,19
9234800,70717,9164083,7,13
9234800,70753,9164047,13,7
9234800,71011,9163789,1,19
9234800,71059,9163741,19,1
9234800,71089,9163711,19,1
9234800,71161,9163639,1,19
9234800,71167,9163633,7,13
9234800,71263,9163537,13,7
9234800,71389,9163411,19,1
9234800,71419,9163381,19,1
9234800,71551,9163249,1,19
9234800,71719,9163081,19,1
9234800,71881,9162919,1,19
9234800,72091,9162709,1,19
9234800,72139,9162661,19,1
9234800,72211,9162589,1,19
9234800,72253,9162547,13,7
